hospital,seed,best_epoch,trained_epochs,dev_auc,dev_pr_auc,dev_bal_acc,ext_auc,ext_pr_auc,ext_bal_acc,best_model_auc,max_f1_positive,max_mcc,history_path
huaxi,42,8,18,0.8493,0.8682,0.7580,0.5540,0.4306,0.5193,0.5540,0.5417,0.1330,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/huaxi/seed_42/logs/training_history.json
huaxi,123,11,21,0.8526,0.8613,0.7197,0.5972,0.4981,0.4713,0.5972,0.5424,0.0843,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/huaxi/seed_123/logs/training_history.json
huaxi,2024,7,17,0.8243,0.8300,0.7240,0.5722,0.4113,0.4960,0.5722,0.5472,0.1191,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/huaxi/seed_2024/logs/training_history.json
huaxi,3407,1,11,0.7574,0.7048,0.6834,0.5716,0.4503,0.4935,0.5716,0.5472,0.1191,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/huaxi/seed_3407/logs/training_history.json
huaxi,114514,10,20,0.8386,0.8637,0.7918,0.5733,0.4081,0.4778,0.5733,0.5470,0.1196,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/huaxi/seed_114514/logs/training_history.json
liaoning,42,11,21,0.8944,0.8985,0.8071,0.5961,0.4789,0.5632,0.5961,0.5208,0.1365,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/liaoning/seed_42/logs/training_history.json
liaoning,123,2,12,0.7305,0.7757,0.6413,0.5850,0.4317,0.5657,0.5850,0.5208,0.1362,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/liaoning/seed_123/logs/training_history.json
liaoning,2024,16,26,0.8885,0.8976,0.7717,0.5764,0.4630,0.5635,0.5764,0.5208,0.1841,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/liaoning/seed_2024/logs/training_history.json
liaoning,3407,12,22,0.7848,0.8086,0.5994,0.5916,0.4638,0.5850,0.5916,0.5301,0.1670,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/liaoning/seed_3407/logs/training_history.json
liaoning,114514,14,24,0.8293,0.8536,0.7392,0.5868,0.4714,0.5643,0.5868,0.5227,0.1507,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/liaoning/seed_114514/logs/training_history.json
xiangya,42,21,30,0.8938,0.9079,0.8086,0.5866,0.7607,0.5453,0.5866,0.8171,0.1371,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/xiangya/seed_42/logs/training_history.json
xiangya,123,3,13,0.6443,0.6583,0.5346,0.5960,0.8126,0.5000,0.5960,0.8171,0.0000,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/xiangya/seed_123/logs/training_history.json
xiangya,2024,10,20,0.6573,0.6231,0.5684,0.6662,0.8008,0.5000,0.6662,0.8171,0.1296,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/xiangya/seed_2024/logs/training_history.json
xiangya,3407,1,11,0.6315,0.5765,0.5959,0.6080,0.8096,0.5871,0.6080,0.8171,0.1617,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/xiangya/seed_3407/logs/training_history.json
xiangya,114514,7,17,0.5817,0.6178,0.5020,0.5682,0.7942,0.4552,0.5682,0.8171,0.2748,/ssd_data/tsy_study_venv/OptiGenesis_Lancet/outputs/xiangya/seed_114514/logs/training_history.json
