model,hospital,seed,dev_auc,dev_pr,dev_bacc,ext_auc,ext_pr,ext_bacc,best_auc,max_f1,max_mcc,log
convnext_small,huaxi,114514,0.8131,0.8227,0.761,0.5386,0.4188,0.5284,0.5386,0.5421,0.0977,outputs_comparison_convnext_small/huaxi/seed_114514/logs/train_console.log
convnext_small,huaxi,123,0.6588,0.6342,0.5,0.5159,0.3794,0.5,0.5159,0.5378,0.0,outputs_comparison_convnext_small/huaxi/seed_123/logs/train_console.log
convnext_small,huaxi,2024,0.6234,0.6007,0.5,0.5176,0.4107,0.5,0.5176,0.5378,0.0,outputs_comparison_convnext_small/huaxi/seed_2024/logs/train_console.log
convnext_small,huaxi,3407,0.6393,0.6087,0.5,0.5023,0.4197,0.5,0.5023,0.5378,0.0,outputs_comparison_convnext_small/huaxi/seed_3407/logs/train_console.log
convnext_small,huaxi,42,0.7297,0.781,0.5,0.5142,0.3961,0.5,0.5142,0.5378,0.0,outputs_comparison_convnext_small/huaxi/seed_42/logs/train_console.log
convnext_small,liaoning,114514,0.6674,0.6684,0.5,0.5835,0.435,0.5,0.5835,0.5208,0.0,outputs_comparison_convnext_small/liaoning/seed_114514/logs/train_console.log
convnext_small,liaoning,123,0.5008,0.5693,0.5,0.4613,0.3186,0.5,0.4613,0.5208,0.0,outputs_comparison_convnext_small/liaoning/seed_123/logs/train_console.log
convnext_small,liaoning,2024,0.6149,0.5761,0.5,0.5124,0.4367,0.5,0.5124,0.5208,0.0,outputs_comparison_convnext_small/liaoning/seed_2024/logs/train_console.log
convnext_small,liaoning,3407,0.7361,0.7307,0.6297,0.6052,0.4722,0.5252,0.6052,0.5208,0.0639,outputs_comparison_convnext_small/liaoning/seed_3407/logs/train_console.log
convnext_small,liaoning,42,0.4799,0.4839,0.5,0.5042,0.3874,0.5,0.5042,0.5208,0.0,outputs_comparison_convnext_small/liaoning/seed_42/logs/train_console.log
convnext_small,xiangya,114514,0.5786,0.6551,0.5,0.7612,0.8884,0.5,0.7612,0.8171,0.2194,outputs_comparison_convnext_small/xiangya/seed_114514/logs/train_console.log
convnext_small,xiangya,123,0.5768,0.6204,0.5,0.6189,0.8384,0.5,0.6189,0.8171,0.0,outputs_comparison_convnext_small/xiangya/seed_123/logs/train_console.log
convnext_small,xiangya,2024,0.5833,0.6391,0.5,0.7572,0.8769,0.5,0.7572,0.8171,0.0,outputs_comparison_convnext_small/xiangya/seed_2024/logs/train_console.log
convnext_small,xiangya,3407,0.5865,0.6052,0.5,0.6925,0.8389,0.5,0.6925,0.8171,0.0,outputs_comparison_convnext_small/xiangya/seed_3407/logs/train_console.log
convnext_small,xiangya,42,0.6054,0.6491,0.5,0.6376,0.8085,0.5,0.6376,0.8171,0.0,outputs_comparison_convnext_small/xiangya/seed_42/logs/train_console.log
swin_small,huaxi,114514,0.9127,0.9177,0.8191,0.5574,0.4485,0.5219,0.5574,0.566,0.186,outputs_comparison_swin_small/huaxi/seed_114514/logs/train_console.log
swin_small,huaxi,123,0.7994,0.8365,0.6525,0.5727,0.4322,0.5091,0.5727,0.56,0.1724,outputs_comparison_swin_small/huaxi/seed_123/logs/train_console.log
swin_small,huaxi,2024,0.7956,0.8206,0.6121,0.5744,0.4503,0.5026,0.5744,0.5378,0.1196,outputs_comparison_swin_small/huaxi/seed_2024/logs/train_console.log
swin_small,huaxi,3407,0.7342,0.6564,0.5019,0.5898,0.4847,0.5,0.5898,0.5424,0.1173,outputs_comparison_swin_small/huaxi/seed_3407/logs/train_console.log
swin_small,huaxi,42,0.8141,0.8431,0.7303,0.542,0.4117,0.496,0.542,0.5487,0.1135,outputs_comparison_swin_small/huaxi/seed_42/logs/train_console.log
swin_small,liaoning,114514,0.4887,0.4963,0.5,0.6041,0.5144,0.5,0.6041,0.5208,0.1216,outputs_comparison_swin_small/liaoning/seed_114514/logs/train_console.log
swin_small,liaoning,123,0.7733,0.8451,0.6617,0.5715,0.462,0.5791,0.5715,0.5208,0.1946,outputs_comparison_swin_small/liaoning/seed_123/logs/train_console.log
swin_small,liaoning,2024,0.9141,0.9339,0.5618,0.5767,0.4509,0.532,0.5767,0.5232,0.1044,outputs_comparison_swin_small/liaoning/seed_2024/logs/train_console.log
swin_small,liaoning,3407,0.8632,0.8865,0.7708,0.6299,0.521,0.587,0.6299,0.5116,0.2104,outputs_comparison_swin_small/liaoning/seed_3407/logs/train_console.log
swin_small,liaoning,42,0.7323,0.7875,0.7014,0.5083,0.3633,0.5355,0.5083,0.5208,0.0884,outputs_comparison_swin_small/liaoning/seed_42/logs/train_console.log
swin_small,xiangya,114514,0.5774,0.6488,0.5,0.6134,0.8061,0.5,0.6134,0.8171,0.1124,outputs_comparison_swin_small/xiangya/seed_114514/logs/train_console.log
swin_small,xiangya,123,0.7339,0.7253,0.6366,0.6428,0.8034,0.6383,0.6428,0.8171,0.2923,outputs_comparison_swin_small/xiangya/seed_123/logs/train_console.log
swin_small,xiangya,2024,0.7055,0.738,0.6088,0.706,0.8671,0.5333,0.706,0.8272,0.2168,outputs_comparison_swin_small/xiangya/seed_2024/logs/train_console.log
swin_small,xiangya,3407,0.6624,0.6736,0.6244,0.6816,0.8322,0.5109,0.6816,0.8171,0.1531,outputs_comparison_swin_small/xiangya/seed_3407/logs/train_console.log
swin_small,xiangya,42,0.6546,0.7051,0.5267,0.5995,0.816,0.5,0.5995,0.8171,0.0764,outputs_comparison_swin_small/xiangya/seed_42/logs/train_console.log
