Model,Split,Center A AUC,Center A Sens,Center A Spec,Center B AUC,Center B Sens,Center B Spec,Center C AUC,Center C Sens,Center C Spec,Overall Macro (AUC/Sens/Spec)
MUSE,Internal,0.702±0.073,0.569±0.074,0.784±0.049,0.597±0.142,0.368±0.235,0.881±0.060,0.582±0.066,0.568±0.204,0.605±0.146,0.627±0.064 / 0.502±0.129 / 0.757±0.035
MUSE,External,0.570±0.032,0.556±0.210,0.633±0.191,0.573±0.028,0.652±0.198,0.515±0.199,0.643±0.066,0.624±0.182,0.733±0.197,0.596±0.036 / 0.611±0.077 / 0.627±0.073
Baseline,Internal,0.824±0.039,0.737±0.066,0.791±0.107,0.826±0.070,0.681±0.091,0.859±0.073,0.682±0.122,0.681±0.149,0.645±0.123,0.777±0.062 / 0.700±0.056 / 0.765±0.067
Baseline,External,0.574±0.015,0.681±0.084,0.553±0.073,0.587±0.007,0.551±0.149,0.635±0.155,0.605±0.037,0.549±0.223,0.747±0.212,0.589±0.012 / 0.594±0.118 / 0.645±0.113
ViT-Base,Internal,0.674±0.072,0.669±0.079,0.637±0.161,0.628±0.088,0.582±0.225,0.675±0.156,0.553±0.038,0.435±0.203,0.715±0.241,0.619±0.048 / 0.562±0.033 / 0.676±0.039
ViT-Base,External,0.559±0.042,0.550±0.245,0.647±0.215,0.572±0.035,0.562±0.106,0.602±0.127,0.571±0.063,0.573±0.244,0.660±0.228,0.567±0.029 / 0.562±0.098 / 0.636±0.108
ViT-Small,Internal,0.742±0.031,0.607±0.105,0.803±0.091,0.776±0.023,0.623±0.048,0.881±0.041,0.639±0.044,0.679±0.262,0.556±0.223,0.719±0.019 / 0.636±0.082 / 0.746±0.082
ViT-Small,External,0.553±0.011,0.475±0.221,0.702±0.225,0.628±0.015,0.664±0.100,0.598±0.085,0.602±0.093,0.493±0.221,0.767±0.213,0.595±0.033 / 0.544±0.109 / 0.689±0.129
ConvNeXt-Small,Internal,0.693±0.079,0.724±0.078,0.637±0.141,0.600±0.109,0.508±0.301,0.741±0.319,0.586±0.011,0.376±0.096,0.816±0.122,0.626±0.043 / 0.536±0.067 / 0.731±0.063
ConvNeXt-Small,External,0.518±0.013,0.519±0.223,0.644±0.249,0.533±0.059,0.438±0.275,0.709±0.303,0.693±0.066,0.701±0.209,0.660±0.214,0.582±0.039 / 0.553±0.071 / 0.671±0.101
Swin-Small,Internal,0.811±0.064,0.691±0.059,0.844±0.081,0.754±0.165,0.550±0.297,0.906±0.054,0.667±0.059,0.542±0.193,0.737±0.145,0.744±0.054 / 0.594±0.136 / 0.829±0.085
Swin-Small,External,0.567±0.018,0.619±0.133,0.585±0.100,0.578±0.046,0.435±0.126,0.739±0.138,0.649±0.045,0.382±0.063,0.927±0.055,0.598±0.032 / 0.479±0.083 / 0.750±0.074
