hospital,seed,best_epoch,trained_epochs,dev_roc_auc,dev_pr_auc,dev_bal_acc,external_roc_auc,external_pr_auc,external_bal_acc,best_auc,max_f1,max_mcc
huaxi,42,18,28,0.7976,0.7994,0.5000,0.5687,0.4206,0.5000,0.5687,0.5378,0.0188
huaxi,123,1,11,0.7099,0.7661,0.6482,0.5415,0.4717,0.4713,0.5415,0.5455,0.1414
huaxi,2024,22,30,0.6805,0.7073,0.5000,0.5642,0.4101,0.5000,0.5642,0.5378,0.0843
huaxi,3407,4,14,0.7670,0.7853,0.6943,0.5312,0.4135,0.5426,0.5312,0.5439,0.0960
huaxi,114514,29,30,0.7929,0.8509,0.7174,0.5830,0.4464,0.5881,0.5830,0.5625,0.1870
liaoning,42,1,11,0.7679,0.7335,0.5000,0.6151,0.4929,0.5072,0.6151,0.5208,0.0972
liaoning,123,4,14,0.7012,0.6469,0.5000,0.6409,0.4807,0.5000,0.6409,0.5247,0.0748
liaoning,2024,1,11,0.7017,0.7569,0.5000,0.5276,0.3640,0.5000,0.5276,0.5208,0.0000
liaoning,3407,2,12,0.7167,0.7146,0.5000,0.4883,0.3477,0.5000,0.4883,0.5208,0.0000
liaoning,114514,1,11,0.6891,0.7044,0.5000,0.5488,0.4616,0.5000,0.5488,0.5227,0.0674
xiangya,42,8,18,0.6788,0.7610,0.5000,0.7229,0.8569,0.5000,0.7229,0.8171,0.0000
xiangya,123,11,21,0.6270,0.6090,0.5000,0.5950,0.8291,0.5000,0.5950,0.8171,0.2194
xiangya,2024,11,21,0.6823,0.6871,0.5000,0.7886,0.9080,0.5000,0.7886,0.8171,0.0000
xiangya,3407,10,20,0.6798,0.6460,0.6283,0.7498,0.8816,0.6144,0.7498,0.8221,0.2782
xiangya,114514,2,12,0.6551,0.6581,0.5000,0.5846,0.8016,0.5000,0.5846,0.8171,0.0000
