hospital,seed,best_epoch,epochs_trained,dev_roc_auc,dev_pr_auc,dev_balanced_acc,external_roc_auc,external_pr_auc,external_balanced_acc,val_roc_auc_best,max_positive_f1_ref,max_mcc_ref
huaxi,42,8,18,0.791,0.7838,0.656,0.5778,0.4332,0.5091,0.5778,0.5455,0.1825
huaxi,123,1,11,0.6879,0.7208,0.5872,0.5943,0.42,0.5,0.5943,0.5378,0.0684
huaxi,2024,4,14,0.734,0.7789,0.5,0.6034,0.4278,0.5,0.6034,0.5378,0.1397
huaxi,3407,3,13,0.7047,0.6917,0.5914,0.5244,0.3821,0.5,0.5244,0.5391,0.095
huaxi,114514,1,11,0.592,0.5816,0.5502,0.5523,0.4694,0.5668,0.5523,0.5378,0.1378
liaoning,42,9,19,0.4912,0.5458,0.5055,0.6175,0.4637,0.4961,0.6175,0.5208,0.1524
liaoning,123,4,14,0.6844,0.6901,0.5617,0.5401,0.4095,0.5298,0.5401,0.5211,0.079
liaoning,2024,28,30,0.8065,0.857,0.5,0.5764,0.472,0.5,0.5764,0.5208,0.0791
liaoning,3407,2,12,0.5137,0.5673,0.4923,0.5654,0.3941,0.5672,0.5654,0.4429,0.1335
liaoning,114514,3,13,0.4899,0.5487,0.5,0.566,0.4203,0.5,0.566,0.0,0.0
xiangya,42,4,14,0.6487,0.6407,0.5,0.7423,0.8807,0.5,0.7423,0.8171,0.0
xiangya,123,1,11,0.482,0.5318,0.5,0.6378,0.78,0.5,0.6378,0.8171,0.0
xiangya,2024,12,22,0.6228,0.6336,0.5,0.6542,0.8473,0.5,0.6542,0.8171,0.0
xiangya,3407,20,30,0.6039,0.6058,0.5,0.5577,0.7981,0.5,0.5577,0.8171,0.0
xiangya,114514,6,16,0.5506,0.5626,0.5,0.6239,0.7854,0.5,0.6239,0.8171,0.0
